,序号,方名,规范名,经典,出处,主治,主治实体_symptom,大类类型,证型,功用,功用大类,功用小类,处方,炮制,方解,禁忌,化裁,附方,文献,用法用量,名家论述,备注,Unnamed: 21,Unnamed: 22,带下过多,带下过少
0,10000163,龙胆泻肝汤,龙胆泻肝汤,经典,《小儿药证直诀》（宋?钱乙）,肝胆实火上扰，症见头痛目赤，胁痛口苦，耳聋、耳肿；或湿热下注，症见阴肿阴痒，筋痿阴汗，小便淋浊，妇女湿热带下等。（本方常用于顽固性偏头痛、头部湿疹、高血压、急性结膜炎、虹膜睫状体炎、外耳道疖肿、鼻炎、急性黄疸性肝炎、急性胆囊炎，以及泌尿生殖系统炎症、急性肾盂肾炎、急性膀胱炎、尿道炎、外阴炎、睾丸炎、腹股沟淋巴腺炎、急性盆腔炎、带状疱疹等属肝经实火、湿热者。）,头痛 目赤 胁痛 口苦 湿热下注 阴肿 阴痒 阴汗 小便淋浊 湿热带下 偏头痛 黄疸 ,带下过多,肝火炽热证 ,泻肝胆实火，清下焦湿热。,清热方,清脏腑热,龙胆草（6克） 黄芩（9克） 山栀子（9克） 泽泻（12克） 木通（9克） 车前子（9克） 当归（8克） 生地黄（20克） 柴胡（10克） 生甘草（6克）,作水剂煎服，根据病情轻重决定用药剂量。也可制成丸剂，每服6-9克，日二次，温开水送下。,本方治证，是由肝胆实火，肝经湿热循经上扰下注所致。上扰则头巅耳目作痛，或听力失聪；旁及两胁则为痛且口苦；下注则循足厥阴肝经所络阴器而为肿痛、阴痒。湿热下注膀胱则为淋痛等症。故方用龙胆草大苦大寒，上泻肝胆实火，下清下焦湿热，为本方泻火除湿两擅其功的君药。黄芩、栀子具有苦寒泻火之功，在本方配伍龙胆草，为臣药。泽泻、木通、车前子清热利湿，使湿热从水道排除。肝主藏血，肝经有热，本易耗伤阴血，加用苦寒燥湿，再耗其阴，故用生地、当归滋阴养血，以使标本兼顾。方用柴胡，是为引诸药入肝胆而设，甘草有调和诸药之效。综观全方，是泻中有补，利中有滋，以使火降热清，湿浊分清，循经所发诸证乃克相应而愈。,本方药物多为苦寒之性，内服每易有伤脾胃，故对脾胃虚寒和阴虚阳亢之证，或多服、久服皆非所宜。,若肝胆实火较盛，可去木通、车前子，加黄连以助泻火之力；若湿盛热轻者，，可去黄芩、生地，加滑石、薏苡仁以增强利湿之功；若玉茎生疮，或便毒悬痈，以及阴囊肿痛，红热甚者，可去柴胡，加连翘、黄连、大黄以泻火解毒。,泻青丸、当归龙荟丸,方论  吴谦等：“胁痛口苦，耳聋耳肿，乃胆经之为病也。筋痿阴湿，热痒阴肿，白浊溲血，乃肝经之为病也。故用龙胆草泻肝胆之火，以柴胡为肝使，以甘草缓肝急，佐以芩、栀、通、泽、车前辈大利前阴，使诸湿热有所以出也。然皆清肝之品，若使病尽去，恐肝亦伤也，故又加当归、生地补血以养肝，盖肝为藏血之脏，补血即所以补肝也。而妙在泻肝之剂反作补肝之药，寓有战胜抚绥之义矣。”《医宗金鉴·删补名医方论》,,,,,,脾虚证,肝肾亏损证
1,10000195,保阴煎,保阴煎,经典,《景岳全书》（明?张景岳）,阴虚血热之带下淋浊，血崩便血，月经提前,淋浊 血崩 便血 ,带下过多,阴虚血热证,养阴清热，凉血止血,清热方,清虚热,地黄  熟地黄  黄芩片  黄柏  白芍  续断  甘草  山药,,,,,,,,,,,,肾阳虚证,血瘀律亏正
2,10000242,参苓白术散,参苓白术散,经典,《太平惠民和剂局方》（宋?太平惠民和剂局）,脾虚湿盛证。饮食不化，胸脘痞闷，肠鸣泄泻，四肢乏力，形体消瘦，面色萎黄，舌淡苔白腻，脉虚缓。（本方常用于慢性胃肠炎、贫血、慢性支气管炎、慢性肾炎以及妇女带下病等属脾虚湿盛者。）,饮食不化 胸脘痞闷 肠鸣 泄泻 四肢乏力 形体消瘦 面色萎黄 舌淡 苔白腻 脉虚缓 ,带下过多,脾虚湿盛证,益气健脾，渗湿止泻。,补益方,补气,莲子肉（500克） 薏苡仁（500克） 砂仁（500克） 桔梗（500克） 白扁豆（750克） 白茯苓（1000克） 人参（1000克） 炙甘草（1000克） 白术（1000克） 山药（1000克）,上为细末。每服二钱（6克），枣汤调下。小儿量岁数加减服之（现代用法：作汤剂，水煎服，用量按原方比例酌减）。,本方证是由脾虚湿盛所致。脾胃虚弱，纳运乏力，故饮食不化；水谷不化，清浊不分，故见肠鸣泄泻；湿滞中焦，气机被阻，而见胸脘痞闷；脾失健运，则气血生化不足；肢体肌肤失于濡养，故四肢无力、形体消瘦、面色萎黄；舌淡，苔白腻，脉虚缓皆为脾虚湿盛之象。治宜补益脾胃，兼以渗湿止泻。方中人参、白术、茯苓益气健脾渗湿为君。配伍山药、莲子肉助君药以健脾益气，兼能止泻；并用白扁豆、薏苡仁助白术、茯苓以健脾渗湿，均为臣药。更用砂仁醒牌和胃，行气化滞，是为佐药。桔梗宣肺利气，通调水道，又能载药上行，培土生金；炒甘草健脾和中，调和诸药，共为佐使。综观全方，补中气，渗湿浊，行气滞，使脾气健运，湿邪得去，则诸症自除。    本方是在四君子汤基础上加山药、莲子、白扁豆、薏苡仁、砂仁、桔梗而成。两方均有益气健脾之功，但四君子汤以补气为主，为治脾胃气虚的基础方；参苓白术散兼有渗湿行气作用，并有保肺之效，是治疗脾虚湿盛证及体现“培土生金”治法的常用方剂。   《古今医鉴》所载参苓白术散，较本方多陈皮一味，适用于脾胃气虚兼有湿阻气滞者。,斟酌。,若兼里寒而腹痛者，加干姜、肉桂以温中祛寒止痛。,七味白术散（《小儿药证直诀》）,方论  吴昆《医方考》卷4：“脾胃虚弱，不思饮食者，此方主之。脾胃者，土也。土为万物之母，诸脏腑百骸受气于脾胃而后能强。若脾胃一亏，则众体皆无以受气，日见羸弱矣。故治杂证者，宜以脾胃为主。然脾胃喜甘而恶苦，喜香而恶秽，喜燥而恶湿，喜利而恶滞。是方也，人参、扁豆、甘草，味之甘者也；白术、茯苓、山药、莲肉、薏苡仁，甘而微燥者也；砂仁辛香而燥，可以开胃醒脾；桔梗甘而微苦，甘则性缓，故为诸药之舟楫，苦则喜降，则能通天气于地道矣。”《太平惠民和剂局方》卷3：“脾胃虚弱，饮食不进，多困少力，中满痞噎，心悸气喘，呕吐泄泻及伤寒咳噫。”,,,,,,阴虚夹湿热证,
3,10000246,完带汤,完带汤,经典,《傅青主女科》（清?傅山）,脾虚肝郁，湿浊带下。带下色白，清稀如涕，面色恍白，倦怠便溏，舌淡苔白，脉缓或濡弱。（本方常用于阴道炎、宫颈糜烂、盆腔炎而属脾虚肝郁，湿浊下注者。）,带下色白 清稀如涕 面色恍白 倦怠 便溏 舌淡 苔白 脉缓 湿浊下注 ,带下过多,脾虚痰湿证,补脾疏肝，化湿止带。,补益方,补气,白术（30克） 山药（30克） 人参（6克） 白芍（15克） 车前子（9克） 苍术（9克） 甘草（3克） 陈皮（2克） 黑芥穗（2克） 柴胡（2克）,水煎服。,本方为治疗白带的常用方剂，所主病证乃由脾虚肝郁、带脉失约、湿浊下注所致。脾虚生化之源不足，气血不能上荣于面致面色恍白；牌失健运，水湿内停，清气不升致倦怠便溏；脾虚肝郁，湿浊下注，带脉不固致带下色白量多、清稀如涕；舌淡白，脉濡弱为脾虚湿盛之象。治宜补脾益气，疏肝解郁，化湿止带。方中重用白术、山药为君，意在补脾祛湿，使脾气健运，湿浊得消；山药并有固肾止带之功。臣以人参补中益气，以助君药补脾之力；苍术燥湿运脾，以增祛湿化浊之力；白芍柔肝理脾，使肝木条达而脾土自强；车前子利湿清热，令湿浊从小便分利。佐以陈皮之理气燥湿，既可使补药补而不滞，又可行气以化湿；柴胡、芥穗之辛散，得白术则升发脾胃清阳，配白芍则疏肝解郁。使以甘草调药和中。诸药相配，使脾气健旺，肝气条达，清阳得升，湿浊得化，则带下自止。    本方的配伍特点是寓补于散，寄消于升，培土抑木，肝脾同治。,带下证属湿热下注者，非本方所宜。,若兼湿热，带下兼黄色者，加黄柏、龙胆草以清热燥湿；兼有寒湿，小腹疼痛者，加炮姜、盐茴香以温中散寒；腰膝酸软者，加杜仲、续断以补益肝肾；日久病滑脱者，加龙骨、牡蛎以固涩止带。,无。,方论  傅山《傅青主女科》卷上：“夫带下俱是湿证，而以带下名者，因带脉不能约束，而有此病，故以名之。盖带脉通于任督，任督病而带脉始病……加以脾气之虚，肝气之郁，湿气之侵，热气之逼，安得不成带下之病哉？故妇人有终年累月下流白物，如涕如唾，不能禁止，甚则臭秽者，所谓白带也。夫白带乃湿盛而火衰，肝郁而气弱，则脾气受伤，湿土之气下陷，是以脾精不守，不能化荣血以为经水，反变为白滑之物，由阴门直下，欲自禁而不可得也。治法宜大补脾胃之气，稍佐以舒肝之品，使风木不闭塞于地中，则地气自升腾于天上，脾气健而湿气消，自无白带之患矣。”《傅青主女科》卷上：“白带下。”,,,,,,湿热下注证,
4,10000386,七宝美髯丹,七宝美髯丹,经典,《医方集解》引邵应节方,肝肾不足，须发早白，齿牙动摇，梦遗滑精，崩漏带下，肾虚不育，腰膝酸软,肝肾不足 梦遗 滑精 崩漏带下 腰膝酸软 ,带下过少,肝肾亏损证,补益肝肾，乌发壮骨,补益方,阴阳双补,制何首乌  茯苓  牛膝  酒浸当归   酒浸枸杞子  酒浸菟丝子   黑脂麻拌炒补骨脂,,,,,,,,,,,,湿毒蕴结证,
5,10000393,桃花汤,桃花汤,经典,《伤寒论》（汉?张仲景）,久痢不愈，便脓血，色黯不鲜，腹痛喜温喜按，舌质淡苔白，脉迟弱，或微细，现用于痢疾后期，伤寒肠出血，慢性肠炎，溃疡病，带下等属于脾肾阳虚者,便脓血 腹痛 脉迟弱 伤寒 ,带下过多,肾阳虚证,温中涩肠,固涩方,涩肠固脱,赤石脂  干姜  粳米,,,,,,,,,,,,,
6,10000401,易黄汤,易黄汤,经典,《傅青主女科》（清?傅山）,妇人任脉不足，湿热侵注，致患黄带，宛如黄茶浓汁，其气腥秽者,任脉不足 湿热侵注 黄带 ,带下过多,湿热下注证,固肾止带，清热祛湿,固涩方,固崩止带,麸炒山药  麸炒芡实  盐黄柏   酒车前子  白果,,,,,,,,,,,,,
7,10000600,二妙散,二妙散,经典,《丹溪心法》,湿热下注，筋骨疼痛，脚膝无力，或足膝红肿热痛或下部湿疮，以及湿热带下，淋浊等症,湿热下注 筋骨疼痛 脚膝无力 足膝红肿 下部湿疮 湿热带下 淋浊 ,带下过多,湿热下注证,清热燥湿,祛湿方,清热祛湿,盐黄柏  麸炒苍术,,,,,,,,,,,,,
8,10000609,清肝止淋汤,清肝止淋汤,经典,《傅青主女科》（清?傅山）,妇人血虚火旺，带下色红，似血非血，淋沥不断,带下色红 似血非血 淋沥不断 ,带下过多,阴虚血热证,养血清肝,祛湿方,清热祛湿,醋白芍  酒当归  酒地黄  阿胶珠   牡丹皮  黄柏  牛膝  茯苓  黑豆,,,,,,,,,,,,,
9,10000610,二妙丸,二妙丸,经典,《丹溪心法》,用于湿热下注，足膝红肿热痛，下肢丹毒，白带，阴囊湿痒,湿热下注 足膝红肿 下肢丹毒 白带 ,带下过多,湿热下注证,燥湿清热,祛湿方,清热祛湿,炒苍术  盐黄柏,,,,,,,,,,,,,
